offerId,hotel_name,image,stars,country,city,start_date,end_date,max_adults,max_children_to_3,max_children_to_10,max_children_to_18,meals,price,room_type,discount,available
10,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-07,2023-02-14,3,1,1,2,breakfast_lunch,1.00,Room,0,true
11,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-31,2023-09-14,3,2,1,1,all_inclusive,1.00,Suite,0,true
12,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-17,2023-05-01,2,2,1,2,breakfast_lunch,1.00,Villa,0,true
13,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-10,2023-08-24,1,0,1,2,breakfast_only,1.00,Room,0,true
14,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-14,2023-08-24,4,1,0,0,breakfast_only,1.00,Villa,0,true
15,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-15,2023-07-22,1,1,0,0,breakfast_only,1.00,Studio,0,true
16,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-26,2023-10-06,4,0,2,0,breakfast_lunch,1.00,Room,0,true
17,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-12,2023-08-26,4,2,0,0,breakfast_lunch,1.00,Suite,0,true
18,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-26,2023-10-06,3,2,0,2,breakfast_only,1.00,Suite,0,true
19,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-12-17,2023-12-27,3,2,0,2,all_inclusive,1.00,Studio,0,true
20,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-19,2023-01-29,2,0,2,2,breakfast_only,1.00,Villa,0,true
21,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-27,2023-04-10,2,2,0,2,breakfast_only,1.00,Room,0,true
22,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-21,2023-01-31,4,0,2,0,breakfast_lunch,1.00,Villa,0,true
23,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-01,2023-04-11,3,0,0,0,breakfast_lunch,1.00,Suite,0,true
24,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-01,2023-04-15,2,1,1,0,all_inclusive,1.00,Room,0,true
25,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-08,2023-01-18,4,0,1,2,breakfast_only,1.00,Villa,0,true
26,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-02,2023-04-09,3,1,1,2,all_inclusive,1.00,Suite,0,true
27,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-12,2023-04-22,1,0,2,0,breakfast_lunch,1.00,Studio,0,true
28,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-08,2023-06-15,1,2,1,1,breakfast_lunch,1.00,Studio,0,true
29,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-22,2023-11-29,1,0,0,1,all_inclusive,1.00,Studio,0,true
30,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-08-21,2023-08-31,3,1,1,0,breakfast_lunch,1.00,Room,0,true
31,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-15,2023-10-22,2,1,2,2,all_inclusive,1.00,Villa,0,true
32,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-02,2023-10-09,4,2,0,2,all_inclusive,1.00,Room,0,true
33,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-02-10,2023-02-20,1,2,2,2,all_inclusive,1.00,Room,0,true
34,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-03-04,2023-03-11,2,1,0,2,breakfast_only,1.00,Villa,0,true
35,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-08,2023-07-15,1,1,1,0,breakfast_lunch,1.00,Suite,0,true
36,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-30,2023-11-09,2,0,0,2,all_inclusive,1.00,Suite,0,true
37,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-24,2023-12-04,1,0,1,1,breakfast_lunch,1.00,Studio,0,true
38,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-16,2023-01-26,4,0,2,2,breakfast_lunch,1.00,Room,10,true
39,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-04-20,2023-04-27,1,0,0,2,breakfast_lunch,1.00,Villa,0,true
40,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-29,2023-10-06,2,0,1,1,all_inclusive,1.00,Suite,0,true
41,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-04-19,2023-04-26,4,0,1,0,breakfast_lunch,1.00,Villa,0,true
42,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-09,2023-09-16,2,1,1,1,breakfast_only,1.00,Studio,0,true
43,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-05,2023-09-15,1,0,1,2,all_inclusive,1.00,Room,10,true
44,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-28,2023-11-11,1,1,2,2,breakfast_only,1.00,Room,0,true
45,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-28,2023-10-12,1,0,2,2,breakfast_only,1.00,Suite,0,true
46,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-04-11,2023-04-21,2,2,0,2,breakfast_lunch,1.00,Suite,0,true
47,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-24,2023-07-04,1,1,1,2,breakfast_only,1.00,Studio,0,true
48,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-12-22,2024-01-05,4,0,2,0,breakfast_lunch,1.00,Studio,0,true
49,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-04-25,2023-05-05,2,1,2,0,all_inclusive,1.00,Room,0,true
50,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-21,2023-01-28,2,1,1,1,all_inclusive,1.00,Suite,0,true
51,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-28,2023-07-08,1,0,2,1,all_inclusive,1.00,Room,0,true
52,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-18,2023-07-25,3,1,1,1,breakfast_lunch,1.00,Villa,0,true
53,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-11,2023-10-21,1,0,2,1,all_inclusive,1.00,Room,0,true
54,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-17,2023-10-31,1,0,1,2,breakfast_lunch,1.00,Studio,0,true
55,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-12-15,2023-12-25,2,0,0,2,breakfast_only,1.00,Room,0,true
56,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-11,2023-07-18,1,0,0,0,breakfast_lunch,1.00,Studio,0,true
57,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-11,2023-07-25,2,0,0,1,breakfast_lunch,1.00,Villa,0,true
58,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-11,2023-06-25,4,0,0,1,all_inclusive,1.00,Suite,0,true
59,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-12,2023-01-19,1,2,0,1,breakfast_lunch,1.00,Studio,0,true
60,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-31,2023-11-14,2,2,0,1,all_inclusive,1.00,Villa,0,true
61,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-03-28,2023-04-07,2,2,1,0,breakfast_lunch,1.00,Villa,0,true
62,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-02-24,2023-03-06,4,0,0,0,all_inclusive,1.00,Room,0,true
63,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-31,2023-11-10,2,1,2,1,all_inclusive,1.00,Suite,0,true
64,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-02-26,2023-03-12,2,2,0,0,all_inclusive,1.00,Suite,0,true
65,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-22,2023-11-01,2,1,1,2,breakfast_lunch,1.00,Suite,0,true
66,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-08-28,2023-09-07,1,2,0,0,all_inclusive,1.00,Room,0,true
67,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-17,2023-10-27,4,0,2,0,breakfast_lunch,1.00,Villa,0,true
68,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-12-03,2023-12-17,3,1,0,2,breakfast_only,1.00,Room,0,true
69,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-12-15,2023-12-29,4,0,0,1,breakfast_only,1.00,Suite,0,true
70,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-02-15,2023-02-25,4,1,2,2,breakfast_only,1.00,Suite,0,true
71,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-13,2023-06-27,2,0,1,1,breakfast_lunch,1.00,Studio,0,true
72,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-09,2023-10-23,2,1,0,2,breakfast_only,1.00,Room,0,true
73,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-27,2023-02-10,2,0,2,1,breakfast_only,1.00,Villa,25,true
74,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-17,2023-12-01,1,1,2,0,breakfast_lunch,1.00,Villa,0,true
75,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-20,2023-06-27,3,0,1,0,breakfast_only,1.00,Studio,0,true
76,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-13,2023-09-23,1,1,1,0,breakfast_lunch,1.00,Suite,0,true
77,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-25,2023-02-08,4,2,2,0,breakfast_only,1.00,Studio,0,true
78,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-24,2023-12-01,1,1,2,1,breakfast_only,1.00,Villa,0,true
79,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-12,2023-09-26,2,0,1,2,all_inclusive,1.00,Studio,0,true
80,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-22,2023-08-05,4,2,2,2,all_inclusive,1.00,Studio,0,true
81,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-03-20,2023-03-27,3,0,2,2,breakfast_only,1.00,Villa,0,true
82,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-12-01,2023-12-15,4,0,1,1,breakfast_lunch,1.00,Villa,0,true
83,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-23,2023-12-07,3,2,0,1,breakfast_only,1.00,Villa,0,true
84,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-19,2023-06-26,2,2,0,0,breakfast_only,1.00,Suite,0,true
85,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-24,2023-07-01,2,2,0,0,all_inclusive,1.00,Villa,0,true
86,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-05,2023-11-12,3,0,0,1,breakfast_only,1.00,Studio,0,true
87,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-05-13,2023-05-23,3,0,0,0,breakfast_lunch,1.00,Suite,0,true
88,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-02-18,2023-02-28,1,0,0,1,all_inclusive,1.00,Villa,25,true
89,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-09,2023-10-16,1,1,1,0,all_inclusive,1.00,Studio,0,true
90,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-06-22,2023-06-29,4,1,0,1,all_inclusive,1.00,Villa,0,true
91,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-12-25,2024-01-04,4,1,2,2,breakfast_only,1.00,Villa,0,true
92,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-15,2023-07-22,4,1,0,1,breakfast_lunch,1.00,Villa,0,true
93,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-08,2023-01-15,3,2,1,0,breakfast_lunch,1.00,Room,0,true
94,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-01-06,2023-01-13,4,2,2,0,breakfast_only,1.00,Studio,0,true
95,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-02-27,2023-03-06,2,0,0,0,breakfast_only,1.00,Villa,0,true
96,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-08-08,2023-08-15,2,0,2,1,breakfast_lunch,1.00,Room,0,true
97,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-09-03,2023-09-13,2,2,2,2,all_inclusive,1.00,Room,0,true
98,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-11-26,2023-12-03,1,2,0,1,breakfast_lunch,1.00,Suite,0,true
99,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-08-23,2023-09-06,3,0,0,1,breakfast_only,1.00,Studio,0,true
100,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-03-01,2023-03-11,1,2,0,0,breakfast_only,1.00,Studio,0,true
101,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-07-15,2023-07-22,4,0,0,0,breakfast_lunch,1.00,Villa,0,true
102,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-10-16,2023-10-26,1,0,2,0,breakfast_lunch,1.00,Room,0,true
103,STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas,2023-04-21,2023-05-01,1,0,1,2,breakfast_only,1.00,Studio,0,true
104,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-11-30,2023-12-10,2,1,2,0,breakfast_lunch,1.00,Studio,0,true
105,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-03-06,2023-03-13,3,2,0,2,breakfast_lunch,1.00,Suite,0,true
106,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-11-03,2023-11-13,3,2,2,1,breakfast_lunch,1.00,Suite,0,true
107,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-08-02,2023-08-09,1,2,2,1,all_inclusive,1.00,Studio,0,true
108,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-11-19,2023-11-26,1,2,0,1,breakfast_only,1.00,Villa,0,true
109,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-02-10,2023-02-24,2,0,2,1,all_inclusive,1.00,Studio,0,true
110,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-12-14,2023-12-21,4,1,2,1,breakfast_only,1.00,Room,0,true
111,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-01-04,2023-01-18,3,1,2,2,breakfast_only,1.00,Suite,0,true
112,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-02-20,2023-03-06,3,1,2,1,breakfast_only,1.00,Room,0,true
113,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-09-19,2023-09-26,3,2,1,2,breakfast_lunch,1.00,Suite,0,true
114,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-08-27,2023-09-03,3,1,2,2,all_inclusive,1.00,Suite,0,true
115,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-03-19,2023-04-02,3,1,0,1,breakfast_lunch,1.00,Suite,0,true
116,PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna,2023-12-15,2023-12-25,3,2,1,1,all_inclusive,1.00,Room,0,true
